Keyword,Occurrences,Details
good,3,"2000: Good governance and the role of the public servant.; 2011: Without good communication skills, life becomes impossible in the modern world.; 2016: Crisis of good governance in Pakistan: Need for reforms and institution building."
governance,3,2000: Good governance and the role of the public servant.; 2016: Crisis of good governance in Pakistan: Need for reforms and institution building.; 2024: Political Polarization; Governance and Society.
role,3,2000: Good governance and the role of the public servant.; 2002: World scenario in 21st century and Pakistan's Role in it.; 2013: The traditional male role changed in the last 20 years.
public,4,2000: Good governance and the role of the public servant.; 2001: Public office is a public trust.; 2012: The Emerging Power of Public Opinion.
there,5,2000: Hero-worship is the strongest where there is least regard for human freedom.; 2010: Why is there no status of the third gender in Pakistan?; 2013: There should be colleges and schools just for men/boys and some just for women/girls.; 2019: Let there be more light in the corridors of worship places.; 2022: Is there such a thing as ethical consumerism?
human,9,"2000: Hero-worship is the strongest where there is least regard for human freedom.; 2000: Personal liberty is the paramount essential to human dignity and human happiness.; 2010: Religion has done more harm than help to human relations in the world.; 2015: The war on terror has contributed to the growing abuse of human rights.; 2018: In the fight against terrorism and corruption, it is imperative not to compromise human rights and civil liberties.; 2021: Human inventions move the societies backward.; 2021: Universal human equality is utopic.; 2022: Human development and economic sustainability."
technology,3,2000: Advancement in science and technology is the gateway to the economic prosperity of a country.; 2019: Expanding Information Technology; A curse or blessing.; 2023: People have become overly dependent on technology.
economic,13,"2000: Advancement in science and technology is the gateway to the economic prosperity of a country.; 2001: Economic prosperity of a nation is directly proportional to the level of literacy in it.; 2002: Austerity as a solution of all our economic problems.; 2002: Higher Economic problems in Pakistan and how to meet them.; 2005: Socio-Economic Challenges faced by Pakistan.; 2006: Socio-Economic Challenges faced by Pakistan.; 2012: Social and Economic Securities for Women in Islam.; 2016: Does foreign aid help to achieve economic stability?; 2018: Real development should transform people’s lives, not just economic statistics.; 2018: China – Pakistan Economic Corridor (CPEC) and its Socio-economic Implications for the Region and the World.; 2019: New war fronts lie in economic zones.; 2022: Human development and economic sustainability."
prosperity,3,2000: Advancement in science and technology is the gateway to the economic prosperity of a country.; 2001: Economic prosperity of a nation is directly proportional to the level of literacy in it.; 2024: Pathways to Pakistan’s prosperity.
country,8,"2000: Advancement in science and technology is the gateway to the economic prosperity of a country.; 2007: The more developed a country, the more lethally it is armed.; 2007: A country is backward because its people are backward; 2011: In this country reason does not apply to anything.; 2013: Country life is better than city life.; 2016: The place of Urdu in Pakistan and Supreme Court’s ruling on making Urdu the official language of the country.; 2016: The creation of new provinces in Pakistan: Implications for an integrated country.; 2018: Will “Rule of law” always remain an impracticable myth in our country?"
education,11,"2000: Education makes a people easy to lead, but difficult to drive, easy to govern, but impossible to enslave.; 2002: Higher Science Education in the developing countries.; 2002: Education has for its object the formation of character.; 2002: Need for serious planning in technical education in Pakistan.; 2007: Higher Education as an agent of change; 2007: The present system of Education must assume some of responsibilities of our failure; 2012: A Critical Analysis of Education Systems in Pakistan.; 2013: Meaning and purpose of education.; 2014: Privatizing higher education-generating knowledge or making more money for the opulent.; 2018: Higher Education in Pakistan: Ills and Remedies.; 2021: Meaning purposive education."
people,4,"2000: Education makes a people easy to lead, but difficult to drive, easy to govern, but impossible to enslave.; 2007: A country is backward because its people are backward; 2018: Real development should transform people’s lives, not just economic statistics.; 2023: People have become overly dependent on technology."
water,4,2000: We never know the worth of water till the well is dry.; 2003: Dilemma of the water and energy crisis in Pakistan.; 2016: Water crisis and national unity.; 2021: Do not waste water even if you were at a running stream.
alleviation,3,2000: Progressive alleviation of poverty in Pakistan - an overview.; 2005: Strategies for the alleviation of poverty.; 2006: Strategies for the alleviation of poverty.
poverty,4,2000: Progressive alleviation of poverty in Pakistan - an overview.; 2005: Strategies for the alleviation of poverty.; 2006: Strategies for the alleviation of poverty.; 2008: Moral depravity is the root cause of poverty.
pakistan,32,"2000: Progressive alleviation of poverty in Pakistan - an overview.; 2001: Devolution of power in Pakistan.; 2002: World scenario in 21st century and Pakistan's Role in it.; 2002: Higher Economic problems in Pakistan and how to meet them.; 2002: Need for serious planning in technical education in Pakistan.; 2003: Dilemma of the water and energy crisis in Pakistan.; 2005: Socio-Economic Challenges faced by Pakistan.; 2006: Socio-Economic Challenges faced by Pakistan.; 2007: The state of women rights in Pakistan; 2010: Pakistan is rich in natural resources but very poor in their management.; 2010: Why is there no status of the third gender in Pakistan?; 2010: Can women be equal to men in Pakistan?; 2011: Does Pakistan society regard woman as the angel in the house or source of all evils?; 2012: Energy Crisis in Pakistan: Causes and Consequences.; 2012: A Critical Analysis of Education Systems in Pakistan.; 2014: Women sportspersons as new ambassadors of the soft image of Pakistan.; 2016: The place of Urdu in Pakistan and Supreme Court’s ruling on making Urdu the official language of the country.; 2016: Crisis of good governance in Pakistan: Need for reforms and institution building.; 2016: Promotion of tax culture in Pakistan: Perspective, prospects and challenges.; 2016: The creation of new provinces in Pakistan: Implications for an integrated country.; 2017: Is colonial mentality impeding Pakistan’s progress?; 2018: Higher Education in Pakistan: Ills and Remedies.; 2018: China – Pakistan Economic Corridor (CPEC) and its Socio-economic Implications for the Region and the World.; 2018: Democracy in Pakistan: Hopes and Hurdles.; 2020: Pakistan and the future of Kashmir cause.; 2020: Polarized politics: the issues and challenges of democracy in Pakistan.; 2020: Global power dynamics and Pakistan’s foreign policy.; 2020: Pakistan’s informal economy: the way forward.; 2020: Promoting tourism in Pakistan: opportunities and challenges.; 2020: Is Pakistan ready for digital revolution?; 2024: Brics and Pakistan: Prospects of Recovery.; 2024: Pathways to Pakistan’s prosperity."
international,4,2000: Moral standards in international relations.; 2002: International Crisis in Terrorism.; 2017: More and more International military engagements by the United Nations; is the world moving towards peace?; 2022: Global politics and international relations.
relations,3,2000: Moral standards in international relations.; 2010: Religion has done more harm than help to human relations in the world.; 2022: Global politics and international relations.
politics,8,2000: The purification of politics is an iridescent dream.; 2002: Politics is perhaps the only profession for which no preparation is thought necessary.; 2007: Politics is the art of possible; 2010: The world politics stands more derisive than it was ever before due to the specific imperialist designs.; 2013: Not economy but politics is a key to success.; 2020: Polarized politics: the issues and challenges of democracy in Pakistan.; 2022: Global politics and international relations.; 2024: Pragmatism vs Passion in politics.
nation,3,2001: Economic prosperity of a nation is directly proportional to the level of literacy in it.; 2014: The character of a nation can be judged by its symbolic narratives.; 2019: Classrooms decide the future of the nation.
national,4,2001: National integration.; 2008: Lack of discipline - a national disaster.; 2016: Water crisis and national unity.; 2024: Globalization and National Economics.
should,8,"2001: He who eats the fruit should at least plant the seed.; 2013: There should be colleges and schools just for men/boys and some just for women/girls.; 2013: Free speech should have limitations.; 2015: Government should eliminate subsidies and incentives for manufacturers and consumers of electric cars as they are costly and do not do enough to protect the environment.; 2017: Life without controversy is no life. But why one should not choose the safe haven of conformism?; 2018: Real development should transform people’s lives, not just economic statistics.; 2023: To encourage healthy eating, higher taxes should be imposed on soft drinks and junk food.; 2023: Both parents should assume equal responsibility in raising a child."
best,4,"2001: The best place to find a helping hand is at the end of your arm.; 2010: Literature is the best criticism of life.; 2010: Dialogue is the best course to combat terrorism.; 2016: We have to learn to be our own best friends, because we fall too easily into the trap of being our own worst enemies."
end,3,2001: The best place to find a helping hand is at the end of your arm.; 2004: The end of cheap oil.; 2013: Modern day communication via social networks puts an end to true and sincere relationships.
power,5,2001: Devolution of power in Pakistan.; 2012: The Emerging Power of Public Opinion.; 2018: The Emerging Power of Social Media: Prospects and Problems.; 2020: Global power dynamics and Pakistan’s foreign policy.; 2024: The power of propaganda and Muslim World.
world,15,"2002: World scenario in 21st century and Pakistan's Role in it.; 2007: The image of Islam in the western world and responsibilities of the Muslim Ummah; 2007: Terrorism as a new threat to the contemporary world; 2008: Can we prevent the Third World War?; 2010: Religion has done more harm than help to human relations in the world.; 2010: The world politics stands more derisive than it was ever before due to the specific imperialist designs.; 2011: Without good communication skills, life becomes impossible in the modern world.; 2011: The time we live in is the winter of the world.; 2016: World as a global village: Learning to live together.; 2017: More and more International military engagements by the United Nations; is the world moving towards peace?; 2017: Feminism is not really a Third World issue.; 2018: China – Pakistan Economic Corridor (CPEC) and its Socio-economic Implications for the Region and the World.; 2021: Intercultural communication is panacea to avoid 3rd world war.; 2022: World food systems: the economics of agriculture.; 2024: The power of propaganda and Muslim World."
crisis,5,2002: International Crisis in Terrorism.; 2003: Dilemma of the water and energy crisis in Pakistan.; 2012: Energy Crisis in Pakistan: Causes and Consequences.; 2016: Water crisis and national unity.; 2016: Crisis of good governance in Pakistan: Need for reforms and institution building.
terrorism,5,"2002: International Crisis in Terrorism.; 2007: Terrorism as a new threat to the contemporary world; 2010: Dialogue is the best course to combat terrorism.; 2018: In the fight against terrorism and corruption, it is imperative not to compromise human rights and civil liberties.; 2022: How is terrorism and its perception shaped by the Mass Media?"
